day,type,title,author,abstract
Thu,Poster,Eleven quick tips for writing a Bioconductor package,"Charlotte Soneson,Lori Ann Shepherd,Marcel Ramos,Kevin Christophe Rue-Albrecht,Johannes Rainer,Hervé Pagès,Vincent James Carey","The Bioconductor project currently distributes more than 2,300 software packages. While some of these, especially those focusing on fundamental infrastructure and functionality, are written by the Bioconductor core team, most are contributed by community members. An explicit goal of Bioconductor is that packages are intended and expected to work together in a concerted way. A consequence of this is that any new package must adhere to a set of guidelines to enable a seamless interaction with the existing ecosystem. An extensive contributor’s guide (https://contributions.bioconductor.org/) is available to help developers navigate these guidelines. In this poster, we provide summarized, accessible guidance for prospective package contributors in the form of eleven quick tips for writing a Bioconductor package. The tips focus specifically on the aspects of the contributor guidelines that, in our experience, are most helpful to keep in mind throughout the development process in order to enable a smooth submission experience."
Thu,Poster,Fuzzy Forest for Microbiome-Driven Diagnosis of Cardiovascular Disease,"Eliana Ibrahimi,Annamaria Porreca,Alise Ponsero","The gut microbiome is increasingly recognized as a key modulator in the early pathogenesis of cardiovascular disease such as ischemic heart disease (IHD), offering both diagnostic potential and mechanistic insights before clinical symptom onset. Translating this promise into clinical tools requires advanced computational methods capable of extracting meaningful patterns from complex and noisy microbiome data. In this study, we compare three supervised machine learning algorithms, Lasso-regularized Generalized Linear Models (GLM), Random Forests (RF), and Fuzzy Forests (FF), to classify IHD from healthy controls, using gut microbiome profiles obtained from the Metacardis project (metacardis.net). The dataset included 375 patients with IHD and 275 healthy controls. Preprocessing included normalization, filtering of low-abundance taxa, and stratified train and test splitting. Model performance was evaluated using the area under the receiver operating characteristic curve (AUC), with FF outperforming RF and Lasso-GLM in models classifying IHD from healthy subjects (AUC = 0.83 vs. 0.74 and 0.71, respectively). The results from the FF algorithm are consistent with previously reported studies, which emphasize significant alterations in the abundance of various microbial taxa in IHD patients. Taxa such as Prevotella, Bacteroides, and Ruminococcus were among those exhibiting marked differences in abundance between IHD patients and healthy controls, suggesting their potential role in the disease's etiology as previously reported. The ability of FF to identify key microbial taxa contributing to this separation provides valuable insights into potential biomarkers for early diagnosis and therapeutic targets. The superior performance of FF highlights its robustness in handling uncertainty and high dimensionality inherent in microbiome data, making it a promising tool for early IHD prediction and microbiome-related biomarker discovery."
Thu,Poster,Predicting therapy response in breast cancer patients using spatial proteomics of metastatic lymph nodes,"Andrea Mock,Sok Lin Foo,Michal Kloc,Michael B Stadler,Mohamed Bentires-Alj","Tumor-draining lymph nodes (TDLNs) are key sites of immune regulation and early metastasis in breast cancer, yet their role in predicting therapy response in hormone receptor-positive (HR+) subtypes remains poorly characterized. Leveraging Imaging Mass Cytometry (IMC), we analyzed spatially-resolved protein expression across 67 HR+ breast cancer patients (28 Luminal A, 39 Luminal B), profiling 35 markers in primary tumors, metastatic, and non-metastatic lymph nodes. To address the computational demands of single-cell spatial data, we applied geometric sketching to enhance representation of rare immune cell types and accelerate downstream analysis. Louvain clustering and kNN-based label transfer enabled scalable and accurate cell-type annotation. Using Bioconductor-compatible tools, including CATALYST, cytomapper, BiocNeighbors and sketchR, we identified spatially enriched immune cell subsets and cellular neighborhoods predictive of recurrence. Notably, B cells, regulatory T cells, and cytotoxic T cells were associated with recurrence risk, while specific spatial niches were predictive of therapy response. Our findings highlight the prognostic value of spatial immune architecture in TDLNs and set the stage for benchmarking against other deep learning-based predictive models. This work underscores the utility of Bioconductor-driven spatial analysis for biomarker discovery in translational oncology."
Thu,Poster,scBaptism: A unified tool for efficient and user-friendly single cell annotation,"Alina Jenn,Federico Marini","Single cell transcriptomic data has become a valuable approach to investigating tissues with heterogeneous cell populations. One of the fundamental steps in the analysis workflows is the data annotation, where each cell is assigned informative labels about their type, state or identity. Manually reviewing single cell RNA sequencing data and annotating based on the individual gene expression profiles is slow and laborious, yet this is still regarded as the gold standard in the field. Most of the automated annotation workflows follow one of the three main strategies: reference-based, marker-based, or model-based. Still, the multiplicity of tools and options available makes it challenging for users to become proficient at running them and to efficiently combine their outputs for downstream steps.  To address this lack of a standardized annotation tool, we are currently developing scBaptism, a tool that unifies the suitable annotation programs, leveraging one single framework (SingleCellExperiment) to store and integrate the relevant cell label information. Additionally, we provide visualizations that deliver insights by directly comparing results from different tools, showing similarities and differences among tools, methods, and references (e.g. inconsistencies across various methods, variations across annotations/references). scBaptism can be an ideal companion towards defining appropriately discrete groups and clusters of cells, which will be fundamental for interpreting the data after differential state analyses (differential expression, differential abundance) are performed. With our tool the process of single cell annotation will be more easily accessible and require less manual input while providing the researcher with more comprehensive results through one software interface."
Thu,Poster,Refining transcription factor enrichment analysis with the upgraded TFEA.ChIP,"Yosra Berrouayel Dahour,Luis del Peso Ovalle","Identifying transcription factors (TFs) that regulate co-expressed gene sets is a critical step in interpreting differential gene expression and uncovering underlying biological mechanisms. TFEA.ChIP is a key tool for TF enrichment analysis, using publicly available ChIP-seq data. The original version used GeneHancer to link TF binding sites to target genes, a necessary yet challenging aspect of enrichment analysis. It then used ChIP-seq data from ReMap2022 to identify TFs bound to these regions, highlighting potential master regulators. However, this approach is limited by its dependence on predicted interactions, with minimal grounding in raw experimental data and lacking the resolution needed for tissue- or cell type-specific contexts.   To address these limitations, we present a major update to TFEA.ChIP. By incorporating cell type–specific associations from the rE2G ENCODE resource, the tool now captures regulatory patterns across diverse cellular contexts, enhancing biological relevance. The rE2G database is built on high-resolution experimental data, including CRISPR and Hi-C, providing a robust foundation for mapping regulatory interactions. Additionally, the updated version filters out TFs not expressed in specific cell types, reducing noise and providing more accurate results. Benchmarking against gene expression profile datasets demonstrates that the updated TFEA.ChIP outperforms the original in accuracy and predictive power.   In summary, this upgraded version of TFEA.ChIP offers a more precise, context-aware framework for TF enrichment analysis, facilitating deeper exploration of the transcriptional networks underlying complex cellular responses."
Thu,Poster,Multi-omics approach identifies gut microbiota variations associated with depression.,"Adrian Hernandez-Cacho,Jesús Francisco García-Gavilán,Alessandro Atzeni,Jiaqi Ni,Jordi Salas-Salvadó","The gut microbiota plays a potential role in the pathophysiology of depression through the gut-brain axis. This cross-sectional study in 400 participants from the PREDIMED-Plus study investigates the interplay between gut microbiota and depression using a multi-omics approach. Depression was defined as antidepressant use or high Beck Depression Inventory-II scores. Gut microbiota was characterized by 16S rRNA sequencing, and faecal metabolites were analysed via liquid chromatography-tandem mass spectrometry. Participants with depression exhibited significant differences in gut microbial composition and metabolic profiles. Differentially abundant taxa included Acidaminococcus, Christensenellaceae R-7 group, and Megasphaera, among others. Metabolomic analysis revealed 15 significantly altered metabolites, primarily lipids, organic acids, and benzenoids, some of which correlated with gut microbial features. This study highlights the interplay between the gut microbiota and depression, paving the way for future research to determine whether gut microbiota influences depression pathophysiology or reflects changes associated with depression."
Thu,Poster,Extracting Tumor Cell Gene Expression Profiles and Metabolic Phenotypes Using PureMeta,Kang Wang,"The accurate extraction of tumor cell-specific gene expression profiles (GEP) from bulk RNA-seq or microarray data is crucial for understanding the metabolic phenotypes of cancer cells. PureMeta, an innovative bioinformatics tool, addresses this need by providing a robust methodology for isolating tumor cell GEP and generating metabolic phenotypes across seven key metabolic pathways. In this study, we applied PureMeta (https://github.com/WangKang-Leo/PureMeta) to bulk RNA-seq data from breast cancer samples, successfully extracting tumor cell GEP and identifying metabolic states (upregulated, neutral, downregulated) for each pathway. Our results demonstrate the tool's efficacy in distinguishing tumor-specific metabolic alterations, which are often masked in bulk data analysis. We will present a comprehensive workflow for using PureMeta, including data preprocessing, GEP extraction, and metabolic phenotype generation. Additionally, we will discuss the implications of our findings for cancer research and potential applications in personalized medicine. Our findings underscore the importance of tumor-specific analysis in cancer genomics and highlight PureMeta as a valuable resource for researchers aiming to elucidate the metabolic landscape of tumor cells."
Thu,Poster,Benchmark of single-cell batch correction methods available in the R and Python languages.,"Elena Zuin,Chiara Romualdi,Davide Risso,Gabriele Sales","Single-cell datasets often include samples from multiple laboratories and conditions, leading to complex batch effects. This unwanted technical variation overlaps with biological effects of interest and confuses downstream analyses. A key challenge in the study of single-cell data is to align various datasets while preserving biological variations correctly. The batch effects correction is an important step for single-cell data analysis to create a new atlas or to identify cell types, in particular, rare cell types. Existing methods are based on different mathematical approaches and, unfortunately, produce highly dissimilar results. To gain a deeper understanding of their strengths and weaknesses, we performed a benchmark study using a selection of the most popular and novel approaches available in the R and Python ecosystems. We evaluated the performance of these methods in terms of their ability to remove batch effects while preserving biological signals. Initially, we based our assessment on popular metrics such as Local Inverse Simpson’s Index, Average Silhouette Width, and Adjusted Range Index. However, these metrics frequently yielded inconsistent results, hindering our ability to identify the best-performing methods. To address this limitation, we propose the Wasserstein distance as an alternative evaluation metric, providing a global summary of batch differences in a reduced dimensionality space. Lastly, we created an R package that contains a common interface for single-cell batch correction methods in R and Python environments to facilitate further studies."
Thu,Poster,Benchmark of Module Detection Methods for Single Cell Proteomics,"Enes Sefa Ayar,Laurent Gatto","Proteins are the key molecules in executing biological functions, and they cooperate as part of protein complexes or biological pathways. Correlation in their abundance suggests functional interdependence, offering insights into biological functions. Thus, identifying biologically meaningful protein groups (modules) is a critical step in understanding cellular processes. While many module detection methods exist, they were developed for bulk or transcriptomic data and rely on the assumption that gene expression levels can identify functionally related protein groups.  Single-cell proteomics (SCP) quantifies protein levels at single-cell resolution, eliminating this assumption and offering a more accurate view of functional protein relationships. Moreover, SCP preserves cellular heterogeneity, enabling the discovery of dynamic and context-specific protein modules are often masked in bulk measurements. Despite these advantages, existing module detection methods may not be well suited for SCP data, which presents unique challenges such as batch effects and missing values.  Moreover, these methods also differ by various features, for instance, whether they incorporate (or not) prior biological knowledge, whether they allow (or not) overlapping modules, or to what extent they use differential correlation analysis. Parameter choices further influence the identified modules, often leading to arbitrary decisions. However, all share a more critical limitation: they generate modules even when applied to random data. It is therefore essential to distinguish biologically relevant modules from artifacts.  In this work, we systematically evaluate module detection methods on SCP datasets. Our assessment framework integrates (1) internal clustering metrics to evaluate compactness and separation, (2) external validation against known biological annotations, and (3) network-based analyses incorporating protein-protein interaction data to enhance biological interpretability. Our findings reveal notable differences in the biological relevance of the identified modules and offer practical recommendations for selecting and validating module detection approaches for single-cell proteomics. Furthermore, we propose strategies for addressing missing values and batch effects, thereby improving the accuracy and reliability of module detection."
Thu,Poster,Explainable AI in Microbiome-Based Obesity Studies: From Black Boxes to Biological Insight,"Fjona Lami,Ajola Elezi,Eliana Ibrahimi","Understanding how the gut microbiome influences obesity is a growing area of interest, but analyzing the complex and high-dimensional microbiome datasets can be challenging. Machine learning (ML) models are powerful tools for finding patterns in microbiome data, yet they often act as ""black boxes,"" making it hard to understand why certain predictions are made. In this study, we applied explainable artificial intelligence (XAI) techniques using curatedMetagenomicData (via Bioconductor/R) from individuals with varying body mass index (BMI) to study the microbial drivers behind obesity predictions. To ensure reliable input for machine learning models, we applied several preprocessing steps. Rare taxa present in fewer than 10% of the samples were filtered out to minimize noise. To address the compositional nature of microbiome data, feature counts were transformed using centered log-ratio (CLR) transformation after the addition of a small pseudo-count. Samples with missing BMI values or incomplete metadata were excluded. This preprocessing pipeline helped standardize the data and reduce technical variability, ensuring that downstream machine learning models could focus on biologically relevant patterns. Several classification models such as random forests, gradient boosting, and predomics, were trained. We then used SHAP (SHapley Additive exPlanations) and LIME (Local Interpretable Model-Agnostic Explanations) to interpret the models’ outputs. These tools helped identify key bacterial genera that were consistently associated with obesity. Models achieved high predictive accuracy, while offering biologically meaningful insights into the gut–obesity connection. Our findings highlight the potential of interpretable machine learning in guiding future microbiome-based strategies for obesity prevention and treatment."
Thu,Poster,Streamlining Disease Genomics and Drug Discovery with disgenet2r,"Janet Piñero,Javier Corvi,Anna Guillem,Laura I. Furlong","Unlock the full breadth of disease-related biomedical knowledge with disgenet2r, an R package that provides seamless access to the DISGENET knowledge platform—integrating over 30 million associations among genes, genetic variants, diseases, and drugs (Piñero et al., 2021, 2019). Designed for researchers in disease genomics, drug discovery, and precision medicine, disgenet2r enables programmatic access, visualization, and advanced exploration of DISGENET data within the R environment.  Built for reproducibility, disgenet2r offers a rich set of functions to explore multiple perspectives of DISGENET data—starting from genes, variants, diseases, or drugs—and harnessing a wide range of metrics and attributes available in the platform to rank and filter associations effectively according to the use case.  With disgenet2r, users can investigate the genetic landscape of diseases, prioritize candidate targets, and craft hypothesis-driven queries to uncover novel therapeutic opportunities. The package supports a variety of visualization techniques—including networks, heatmaps, and more—facilitating the interpretation of complex disease mechanisms and polygenic interactions.  By leveraging DISGENET’s harmonized, AI-enhanced knowledge base, disgenet2r accelerates translational research by uncovering hidden connections critical for early-stage drug development and precision medicine. In this poster/presentation, we will showcase practical use cases that demonstrate how disgenet2r streamlines disease annotation and target prioritization, and how it can be seamlessly integrated into broader biomedical research pipelines."
Thu,Poster,"Streamlining the Analysis Lifecycle: From Automated Processing to Interactive Analysis with Bioconductor, Nextflow, Seqera Containers, and Seqera Platform","Rike Hanssen, Evan Floden, Seqera Team","Bioconductor provides a rich ecosystem of R packages for bioinformatics, yet deploying these
tools at scale and ensuring reproducibility across compute environments can present
considerable challenges. Managing package dependencies, configuring execution
environments, and transitioning between automated pipelines and exploratory analysis often
require significant manual effort and technical expertise. These barriers can limit the
accessibility and reproducibility of R-based bioinformatics tools in large-scale research settings.
To address these challenges, we present a set of integrated, free, and open-source solutions
(Nextflow, Seqera Containers) that streamline the use of Bioconductor throughout the analysis
lifecycle.
A web-based container builder (Seqera Containers) allows researchers to generate Docker
images for any Bioconductor package—or combination of packages—with just a few clicks. This
approach eliminates manual dependency resolution and ensures consistent execution
environments across pipelines, collaborators, and compute infrastructure.
We show how Nextflow pipelines use these containers in scalable, reproducible workflows.
Nextflow supports embedded R scripts as first-class workflow steps, and built-in container
support enables each R-based process to run reproducibly across HPC, cloud, or hybrid
systems.
To support interactive and exploratory analysis, we additionally provide ‘Studios’ through our
commercial offering ‘Seqera Platform’ (available with free academic licensing): fully reproducible
workspaces for running RStudio or JupyterLab notebooks in the cloud. These environments are
containerized and co-located with pipeline data, allowing researchers to move seamlessly
between automated workflows and hands-on exploration.
By combining user-friendly container generation, scalable workflow integration, and reproducible
interactive environments, we aim to reduce friction for researchers working with Bioconductor at
scale.
Seqera, the creators of Nextflow, develop and maintain these tools to enable reproducible,
scalable, and accessible data science in the life sciences."
Thu,Poster,GSVA 2.x: Pathway-centric analysis at single-cell and spatial resolution,"Axel Klenk,Pere Moles,Andrew J. Sedgewick,Justin Guinney,Robert Castelo","GSVA (https://bioconductor.org/packages/GSVA) is an R/Bioconductor package that enables pathway-centric analyses of data produced by high-throughput molecular profiling technologies. The interpretation of biological findings from such data is one of the cornerstones of biomedical research, and GSVA facilitates that goal by performing a conceptually simple but powerful change in the functional unit of analysis, from genes to gene sets. Here we describe our efforts to adapt GSVA to data produced at single-cell and spatial resolution, increasing its robustness and scalability, and improving the user interface and documentation. By using pathways instead of gene-centric features, this new version of GSVA contributes to improve exploratory data analysis, and to develop lower-dimensional statistical and machine learning models, on data from single-cell and spatial transcriptomics experiments."
Thu,Poster,Advancements of the RCX package adapting the Cytoscape Exchange format for biological networks,"Florian Auer,Frank Kramer","The RCX package provides an adaptation of the Cytoscape Exchange (CX) format, facilitating the creation, manipulation, and interoperability of biological networks within the R statistical computing environment. The RCX package now offers the capability to directly construct biological networks from data stored in standard tabular structures within R, significantly enhancing its utility. It now enables the instantiation of network objects from data frames by interpreting information pertaining to nodes, edges, or both simultaneously, accommodating their respective attributes. This complements the name-value approach inherent in the base CX specification and significantly improves the practicality and integrability of the RCX package.  Beyond data representation, RCX has been extended to provide improved support for the visual representation of networks as defined within the CX format's visual properties aspect. Accurate interpretation and application of these properties are crucial for consistent visualization across platforms such as Cytoscape, NDEx, and within RCX itself. Recognizing the complexity of manually constructing these specifications in R, the updated RCX package incorporates higher-level functions that encapsulate the precise structure and valid value domains of Cytoscape visual styles. This abstraction layer minimizes the potential for errors and ensures consistent network rendering. Furthermore, RCy3, an R package providing an interface to remotely control Cytoscape for programmatic network visualization, analysis, and exploration, also leverages the visual properties. Consequently, the implemented functionalities in RCX for handling these visual properties directly enhance the usability of the RCy3 package, streamlining the programmatic control of Cytoscape's visualization capabilities. These advancements establish RCX as a more rigorous and efficient tool for the R-driven biological network analysis community."
Thu,Poster,"Public gene expression cancer signatures across bulk, single-cell and spatial transcriptomics data with signifinder","Stefania Pirrotta,Laura Masatti,Anna Bortolato,Giovanni Esposito,Paolo Martini,Davide Risso,Chiara Romualdi,Enrica Calura","Understanding cancer mechanisms, defining subtypes, predicting prognosis, and assessing therapy efficacy are crucial in cancer research. While bulk gene-expression signatures have played a key role, advances in single-cell RNA sequencing and spatial transcriptomics highlight tumor heterogeneity, requiring computational tools for precise characterization. To address this, we developed signifinder, an R Bioconductor package that streamlines the collection and application of cancer transcriptional signatures across bulk, single-cell, and spatial transcriptomics data. Leveraging publicly available signatures, users can assess tumor characteristics, therapy responses, and tumor microenvironment features.  Indeed, cancer gene expression research has generated numerous transcriptional signatures that aid in tumor classification, prognosis, and therapeutic decisions. These signatures, composed of specific gene sets, provide insights into tumor biology and interactions with the tumor microenvironment. However, tumor heterogeneity presents challenges, requiring tools that define cancer cell states within high-resolution transcriptomic data. Advancements in single-cell RNA sequencing and spatial transcriptomics have revealed tumors as complex cellular mosaics shaped by spatial patterns and clonal variations. Computational tools are needed to analyze gene expression modules and derive cell-specific scores. While pan-cancer analyses confirm multiple, non-mutually exclusive cancer cell states, a comprehensive catalog of gene modules remains elusive, limiting genomic data interpretation. Despite extensive research, bulk transcriptional signatures face reproducibility and standardization challenges, with few adopted in clinical practice. Open-source implementations are lacking, restricting usability. To bridge this gap, we developed signifinder, a package that implements public transcriptional signatures across transcriptomic data types. It ensures interoperability within Bioconductor workflows, enabling systematic signature evaluation. Signifinder integrates bulk, single-cell, and spatial transcriptomic signatures, compiling a collection of cancer gene signatures, and enables intra-tumor heterogeneity analysis. Further, it includes several visualization functions for easy interpretation of results. Future development will expand its catalog, promoting broader options. By enhancing high-resolution transcriptomic data interpretation, signifinder aids in detecting intratumor variability and advancing cancer research."
Thu,Poster,Defining an ADAR-Specific Transcriptional Signature to Infer Enzymatic Activity from RNA-Seq Data,"Francesca A L Marino,Alessandro Barbon,Enrica Calura,Paolo Martini","ADARs (Adenosine Deaminases Acting on RNA) are enzymes that play a crucial role in RNA editing, specifically converting adenosine to inosine – which is interpreted by the cell as guanosine – within double-stranded RNA molecules. This co-transcriptional modification can alter the coding sequence of mRNAs or regulate gene expression and is involved in fundamental processes as neural development and immune response.  To allow a quantitative comparison of ADAR1 activity in various RNA-seq samples, the Alu Editing Index (AEI) was developed by Roth, Shalom Hillel et al., Nature methods (2019). The AEI measures ADAR1 activity in Alu as the ratio of A-to-G mismatches in the total number of adenosines in Alu elements. Therefore, the AEI needs to start from the raw reads. This hampered AEI usability when raw reads are not available or when RNA-seq 3’ end libraries are used, including single cell RNA-seq and spatial transcriptomic data. To overcome these issues, we developed a tool to globally quantify ADAR activity (not only specific to the Alu sites) starting from the expression matrix.  We created four transcriptional ADAR signatures (Neuronal Human, Neuronal Mouse, Inflammation Human, Cancer related) leveraging several bulk RNA-Seq datasets with the knock-out (or knock-down) of ADAR1, ADAR2 or both in different conditions (neuronal development, mouse neurons, cancer cell related, interferon stimulation). The signatures were defined as the regulons extracted from the network reconstructed obtained by gene expression matrices, where regulons are defined as the first neighbors of the ADAR genes. ADAR signatures are calculated with the R package viper. The robustness of the signatures was tested by applying them across validation datasets of bulk, single-cell and spatial transcriptomics datasets. The results obtained suggest that the developed signatures can be employed to get reliable ADARs’ activity scores specific to each biological context.  Hence, we developed an R package that will be available on GitHub and submitted to Bioconductor. The functions of the package allow to measure ADARs’ activity scores starting from an expression matrix of bulk, single-cell or spatial transcriptomics datasets, as well as the visualization of the results based on the previously described signatures."
Thu,Poster,robin2: accelerating single cell data clustering evaluation,"Dario Righelli,Valeria Policastro,Luisa Cutillo,ANNAMARIA CARISSIMO","The rapid expansion of single-cell RNA sequencing (scRNA-seq) technologies has increased the need for robust and scalable clustering evaluation methods. To address these challenges, we developed robin2, an optimized version of our R package robin. It introduces enhanced computational efficiency, support for high-dimensional datasets, and harmonious integration with R’s base functionalities for robust network analysis. Our tests demonstrate that robin2 reduces computational time by ninefold on large-scale scRNA-seq datasets using parallel processing with 12 cores. It offers improved functionality for clustering stability validation and enables systematic evaluation of community detection algorithms across various resolutions and pipelines. The application of robin2 to the Tabula Muris dataset confirmed its capability to identify biologically meaningful cell subpopulations with high statistical significance. The robin2 package is freely available on CRAN at https://CRAN.R-project.org/package=robin. Comprehensive documentation and a detailed analysis vignette are accessible on GitHub at https://github.com/drighelli/scrobinv2."
Thu,Poster,Combining multi-omics factorization methods for robust biomarker identification,"Ivo Kwee,Antonino Zito","Multi-omics biomarker identification is crucial for advancing biomedical research and personalized medicine. Computational genomic approaches are increasingly used to screen large biological datasets and identify features capable of classifying or predicting phenotypes. While traditionally focused on single-omics data, integration of multi-omics data enhances biomarker selection by capturing additional layers of biological variation.  Matrix factorization methods have emerged as a powerful tool for multi-omics analysis, as they can learn latent factors that capture significant heterogeneity across different data types. However, each of the current multi-omics factorization algorithms presents its own strengths and weaknesses. Distinct approaches may result into different biomarker sets, therefore causing loss of potentially valuable information. Ultimately, reconciling different biomarker sets identified by distinct methods is difficult and error-prone.  To contribute to addressing these questions, we undertook a combinatorial approach. We used a TCGA, multi-omics breast cancer dataset of 150 samples comprising of transcriptomics, proteomics, and microRNA profiles. We utilized this dataset to: 1) perform multi-omics factorization using 10 distinct algorithms or algorithm variants thereof, including DIABLO, PCA (principal component analysis), MOFA (multi-omics factor analysis), NMF (non-negative matrix factorization), WGCNA (weighted gene correlation network analysis), SGCCA (sparse generalized CCA), SGCCDA (sparse generalized canonical correlation discriminant analysis), RGCCA (regularized generalized CCA), RGCCDA (regularized generalized canonical correlation discriminant analysis), MCIA (multiple co-inertia analysis); 2) combined results of all methods into a variable importance measure to identify a robust set of biomarkers; 3) compared the distinct methods to assess concordance between methods.   All methods were able to predict a set of biomarkers. However, as anticipated, non overlapping biomarker features between methods were often observed. It remains challenging to determine the optimal criteria for selecting the most appropriate factorization approach. For example, distinct data types or data modalities may require tailored approaches. We conducted comparison between methods and found that PCA, MOFA, NMF are more similar to each other compared to other methods. This can be explained by algorithm similarity. For instance, both PCA and MOFA attempt to explain the maximum variance into a small set of components or factors created as an approximated linear combination of the original variables from each data modality. Also, as expected, canonical correlation analysis (CCA) methods, including SGCCA, RGCCA, SGCCDA were highly correlated with each other. We also found that DIABLO, a widely used supervised learning factorization method, was highly correlated with SGCCDA. Correlation analysis also revealed significant divergence between methods. For instance, both PCA and MOFA were lowly correlated with MCIA (multiple co-inertia analysis). We computed a variable importance score for each method. An aggregated score is then calculated as the cumulative rank of the variable importances of the different algorithms. To define a robust set of biomarkers, we select the best predictive features as those with the highest cumulative ranks.   Combining classifications from multiple multi-omics integration methods delivers more robust biomarkers bypassing the risk of information loss from single methods."
,,,,
,,,,
,,,,
Wed 11:00-12:30,Short talk,notame: R/Bioconductor package for untargeted LC–MS metabolomics data analysis,Vilhelm Suksi,"There is increasing interest in the interplay of metabolism, pathologies and biological systems such as the immune system and the gut microbiome. Untargeted liquid chromatography-mass spectrometry (LC-MS) attracts many new practitioners in quantitative metabolomics research, largely due to its sensitivity and broad coverage of the metabolome: the small molecules in a biological sample. However, due to experimental reasons and the extensive data analysis, untargeted LC-MS metabolomics data analysis meets challenges with regard to quality and reproducibility.  In an effort to meet these challenges, the notame R package was developed in parallel with an associated protocol article published in the “Metabolomics Data Processing and Data Analysis—Current Best Practices” special issue of the Metabolites journal. The focus is on a solid starting point for new practitioners. The main outcome is identifying interesting features for laborious downstream steps relating to biological context, such as metabolite identification and pathway analysis, which fall outside the purview of notame. To further promote quality and reproducibility, notame has now been substantially upgraded to be included in Bioconductor, a repository focused on high-quality open software for omics research."
Wed 11:00-12:30,Short talk,Metabonaut: A collection of tutorials to learn metabolomics data analysis in R.,Philippine Louail,"Untargeted LC-MS/MS is a powerful approach for large-scale metabolomics studies, yet reproducible and efficient analysis of such data remains a major challenge. While R offers highly customizable workflows suited to diverse experimental and instrumental setups, the integration of specialized packages into coherent, scalable pipelines—especially for large cohort analyses—is often complex and fragmented.  To address this gap, we present Metabonaut, an educational resource comprising a series of reproducible tutorials for untargeted LC-MS/MS metabolomics data analysis using R and Bioconductor. Built around a representative LC-MS/MS dataset, the tutorials demonstrate how to construct an end-to-end analysis workflow using tools such as xcms and other packages from the RforMassSpectrometry ecosystem.  Each tutorial guides users step-by-step through the analysis process—from raw data preprocessing and feature detection to statistical analysis and annotation—emphasizing reproducibility, adaptability, and interoperability. As a case study, we include an analysis of human plasma samples comparing individuals with cardiovascular disease to healthy controls, illustrating quality control, normalization, and differential abundance analysis.  Beyond core workflows, Metabonaut offers modules on data inspection and quality assessment, flexible alignment for integrating new data into existing preprocessed sets, and cross-language interoperability—highlighted through spectral annotation using Python’s matchms library. All tutorials are designed to be executable over time and can be used independently or combined into a comprehensive “super-vignette.”  This work is supported by the European Union under the HORIZON-MSCA-2021 project 101073062: HUMAN – Harmonising and Unifying Blood Metabolic Analysis Networks."
Wed 11:00-12:30,Short talk,"omicsGMF: dimensionality reduction, batch correction and imputation of missing values for proteomics data","Lieven Clement, Alexandre Segers,Cristian Castiglione,Christophe Vanderaa,Elfride De Baere,Lennart Martens,Davide Risso,Lieven Clement","Technical advancements in mass spectrometry have enabled large-scale proteomics studies and even proteome profiling at the single cell level. However, the huge number of missing values and technical batch effects result in challenges for data analysis. This hinders a first key step in the data analysis workflow, i.e., dimensionality reduction, important for data exploration, visualization, and QC, as well as for downstream applications such as clustering cells. To this end, chained workflows are currently used that sequentially impute missing values, correct for batch effects, and perform conventional principal component analysis. However, their results depend on the order of the tools used in the workflow. Moreover, missingness is influenced by batch effects, so there is no guarantee that chained workflows lead to optimal, interpretable, or reliable results.  We present omicsGMF, the first package for proteomics that integrates dimensionality reduction, batch correction and missing value imputation within a single framework. It builds on our sgdGMF framework, which uses a stochastic gradient descent for generalized matrix factorization and was previously used for dimensionality reduction on single cell RNA-sequencing data. omicsGMF is optimized for omics data and is here applied to a diverse set of bulk and single-cell proteomics data. omicsGMF can be easily used on SummarizedExperiment, SingleCellExperiment and QFeatures classes, and can model the data using different members of the exponential family, such as Gaussian, Poisson or negative binomial distributions.  In this contribution we first show that omicsGMF improves the quality of dimensionality reduction and visualization, while simultaneously addressing batch effect removal and missing values. Second, omicsGMF can assist the user to select the optimal dimensionality by cross-validation, which improves downstream analysis. Furthermore, we illustrate how it can be used for imputation of missing values, resulting in superior imputation performance than state-of-the-art imputation tools, which in turn leads to superior sensitivity and specificity in downstream differential abundance analyses. By providing an all-in-one solution for dimensionality reduction, batch correction and imputation that is highly interpretable, omicsGMF addresses a critical gap in proteomics data analysis for single cell and large-scale applications."
Wed 11:00-12:30,Short talk,miaTime: A scalable R/Bioconductor framework for longitudinal microbiome analysis,"Geraldson T. Muluh,Leo M Lahti,Tuomas Borman","Understanding how microbial communities change over time is essential for studying ecological stability, disease progression, and treatment response. Longitudinal microbiome studies enable these insights but pose analytical challenges, including repeated measures, missing data, batch effects, and the complexity of temporal modeling. miaTime is a new R/Bioconductor package designed to directly address these challenges. miaTime extends the mia (Microbiome Analysis) framework with a standardized, scalable approach for managing, preprocessing, and analyzing temporal microbiome data. Like other mia tools, it builds on TreeSummarizedExperiment (TreeSE), an advanced data structure for storing microbiome feature tables linked to phylogenetic trees. The package implements a suite of analysis methods tailored for time-series microbiome studies, including measures of community stability, detection of bimodal abundance patterns, identification of short-term changes, and quantification of stepwise and baseline divergence. Designed for full interoperability within the R/Bioconductor ecosystem, miaTime advances longitudinal microbiome research across clinical, environmental, and systems biology applications."
